Alqattan (2013);Alqattan;2013,,
Wambugu (2002);Wambugu;2002,,
Jahic et al. (2020);Jahic et al.;2020,,
Pfister et al. (2015);Pfister et al.;2015,,
Backman (2013);Backman;2013,,
Lederman, & Rojas (2014);Lederman, & Rojas;2014
Wang (2012);Wang;2012,,
Bratti et al. (2005);Bratti et al.;2005,,
Behrman (2004);Behrman;2004,,
Kurosaki (2001);Kurosaki;2001,,
Shimada et al. (2016);Shimada et al.;2016,,
Churchill, & Mishra (2018);Churchill, & Mishra;2018
Henderson (1981);Henderson;1981,,
Sweetman (2002);Sweetman;2002,,
Kemelbayeva (2020);Kemelbayeva;2020,,
De & Rozelle (2012);De & Rozelle;2012,,
Hanushek (2012);Hanushek;2012,,
Zhu (2011);Zhu;2011,,
Jones (2008);Jones;2008,,
Van Der Sluis et al. (2007);Van Der Sluis et al.;2007,,
Casado-Díaz (None);Casado-Díaz;,,
O'Leary, & Jsloane (2008);O'Leary, & Jsloane;2008
Banzragch (2010);Banzragch;2010,,
Hill et al. (2005);Hill et al.;2005,,
Bratti et al. (2008);Bratti et al.;2008,,
Ablay, & Lange (2022);Ablay, & Lange;2022
Huffman, & Forazem (2007);Huffman, & Forazem;2007
Caamal Olvera (2013);Caamal Olvera;2013,,
Melo (2017);Melo;2017,,
Odink, & Smits (2001);Odink, & Smits;2001
Flabbi (1999);Flabbi;1999,,
Kuhn et al. (2002);Kuhn et al.;2002,,
Johnes (1993);Johnes;1993,,
Walker, & Zhu (2001);Walker, & Zhu;2001
Zhu (2015);Zhu;2015,,
Oyelere (2008);Oyelere;2008,,
Ayyash (2014);Ayyash;2014,,
Powdthavee, & Vignoles (2006);Powdthavee, & Vignoles;2006
Strawinski (2008);Strawinski;2008,,
Alvi, & Dendir (2020);Alvi, & Dendir;2020
Hoffman, & Hill (2008);Hoffman, & Hill;2008
Savadogo (2016);Savadogo;2016,,
Heuermann et al. (2010);Heuermann et al.;2010,,
Keswell, & Poswell (2002);Keswell, & Poswell;2002
Courant et al. (2006);Courant et al.;2006,,
Barceinas et al. (2000);Barceinas et al.;2000,,
Khan, & Khan (2020);Khan, & Khan;2020
Casieri, & Diodato (2020);Casieri, & Diodato;2020
Fleisher (2002);Fleisher;2002,,
Macgregor (2007);Macgregor;2007,,
Nazier (2013);Nazier;2013,,
Behrman (2010);Behrman;2010,,
Riddell (2001);Riddell;2001,,
Moh (2022);Moh;2022,,
Daly, & Liu (2018);Daly, & Liu;2018
Vahidmanesh (2017);Vahidmanesh;2017,,
Monarrez (None);Monarrez;,,
Britton et al. (2019);Britton et al.;2019,,
Aslam (2007);Aslam;2007,,
Hanushek, & Wößmann (2007);Hanushek, & Wößmann;2007
Education (2004);Education;2004,,
Krafft (2018);Krafft;2018,,
Splinter (2009);Splinter;2009,,
O'Mahony, & Stevens (2004);O'Mahony, & Stevens;2004
Staneva et al. (2022);Staneva et al.;2022,,
Morgan, & Rmorgan (1998);Morgan, & Rmorgan;1998
Mariotti, & Meinecke (2010);Mariotti, & Meinecke;2010
Strawinski (2008);Strawinski;2008,,
Ji (2016);Ji;2016,,
Bothun (2011);Bothun;2011,,
Kurosaki, & Khan (2004);Kurosaki, & Khan;2004
Udry (1997);Udry;1997,,
Davies (2003);Davies;2003,,
Boarini, & Strauss (2007);Boarini, & Strauss;2007
Bakis et al. (2010);Bakis et al.;2010,,
Siedler (2010);Siedler;2010,,
Strauss, & Maisonneuve (2007);Strauss, & Maisonneuve;2007
Kedir (2013);Kedir;2013,,
Gurgand et al. (2011);Gurgand et al.;2011,,
Oyelere (2008);Oyelere;2008,,
Holmes (2017);Holmes;2017,,
Charlot et al. (2003);Charlot et al.;2003,,
Pischke, & Wachter (2004);Pischke, & Wachter;2004
Denny, & O'Sullivan (2004);Denny, & O'Sullivan;2004
Belskaya, & Peter (2014);Belskaya, & Peter;2014
Herbst (2007);Herbst;2007,,
Huang, & Zhu (2020);Huang, & Zhu;2020
Asplund (1992);Asplund;1992,,
Gurgand, & Maurin (2007);Gurgand, & Maurin;2007
Barth, & Roed (1999);Barth, & Roed;1999
Kalwij (2000);Kalwij;2000,,
Iriondo, & Pérez-Amaral (2016);Iriondo, & Pérez-Amaral;2016
Requena (2015);Requena;2015,,
Park (2003);Park;2003,,
Brambilla et al. (2010);Brambilla et al.;2010,,
Karasiotou (2004);Karasiotou;2004,,
Deem (2020);Deem;2020,,
Strawinski (2007);Strawinski;2007,,
Lovaglio, & Verzillo (2016);Lovaglio, & Verzillo;2016
Schnabel, & Schnabel (None);Schnabel, & Schnabel;
Aly (2004);Aly;2004,,
Cardoso et al. (2018);Cardoso et al.;2018,,
Oyelere (2010);Oyelere;2010,,
Hayytjanova (2015);Hayytjanova;2015,,
Karasiotou (2004);Karasiotou;2004,,
Behrman, & Székely (2001);Behrman, & Székely;2001
Strawiński (2008);Strawiński;2008,,
Charlot, & Duranton (2004);Charlot, & Duranton;2004
Hermannsson (2012);Hermannsson;2012,,
Bartolj, & Spolanec (2015);Bartolj, & Spolanec;2015
Walker, & Zhu (2013);Walker, & Zhu;2013
Yao et al. (2018);Yao et al.;2018,,
Grütter (2005);Grütter;2005,,
Van Praag et al. (2009);Van Praag et al.;2009,,
Durkin (2001);Durkin;2001,,
Smith et al. (2022);Smith et al.;2022,,
Hügle (2021);Hügle;2021,,
Kedir et al. (2012);Kedir et al.;2012,,
Ishimaru (2022);Ishimaru;2022,,
Hazan (2009);Hazan;2009,,
Mcdonald et al. (None);Mcdonald et al.;,,
Daraio (2020);Daraio;2020,,
Poswell (2003);Poswell;2003,,
Awaworyi, & Mishra (2014);Awaworyi, & Mishra;2014
Salehi-Isfahani, & Dmurphy (2007);Salehi-Isfahani, & Dmurphy;2007
Memon (2006);Memon;2006,,
Carpio (2014);Carpio;2014,,
Moore (2010);Moore;2010,,
Heckman (2003);Heckman;2003,,
